,age_head,age_spouse,e00200p,e00900p,e02100p,e00200s,e00900s,e02100s,e00600,e00800,e01500,e02300,s006,DSI,blind_head,blind_spouse,nu18,n1820,n21,ssi_ben,vet_ben,snap_ben,mcare_ben,mcaid_ben,e02400,tanf_ben,housing_ben,wic_ben,nu13,nu05,n24,elderly_dependents,f2441,EIC,XTOT,MARS,e01100,e01400,e03300,e03270,e20400,e32800,e19200,e18500,e03240,e17500,e18400,e00900,e00650,e00300,e00400,e01700,e19800,e20100,e03210,e03150,other_ben,e00200,e02100
162885,23,0,10656,0,0,0,0,0,0,0,0,4054,49200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,752,0,0,0,0,0,0,0,0,0,0,10656,0
310537,32,0,43488,0,0,0,0,0,0,0,0,0,33700,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,43488,0
48892,60,57,37247,0,0,39208,0,0,0,0,0,0,89200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,5908,2674,0,0,4017,0,0,585,0,0,5143,1128,0,0,0,76455,0
262461,57,47,28569,0,0,15624,0,0,0,0,0,0,35600,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2479,0,0,48,0,0,0,0,0,0,0,44193,0
408445,31,31,2049,0,0,56358,0,0,0,0,0,0,46500,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,3,2,0,0,0,0,0,0,9403,1938,0,0,1995,0,0,0,0,0,0,0,0,0,0,58407,0
291561,71,0,0,0,0,0,0,0,0,0,24651,0,9100,0,0,0,0,0,1,0,0,0,11622,0,19801,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2027,0,0,0,0,14223,0,0,0,0,0,0,0
237728,38,43,44532,0,0,0,38589,0,0,0,0,0,11000,0,0,0,1,0,2,0,0,0,0,0,12880,0,0,0,1,0,1,0,1,1,3,2,0,0,0,38191,0,0,12244,2832,0,0,6109,38589,0,291,0,0,5423,1189,0,0,0,44532,0
221710,40,48,46891,-774,-100,42202,0,0,15885,0,0,0,9500,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,3,2,6138,0,0,0,10025,0,11375,2751,0,0,3000,-774,15885,44,0,0,0,0,2500,0,0,89093,-100
268862,79,72,0,0,0,0,0,0,0,0,69350,0,230000,0,1,0,0,0,2,0,19757,0,23244,0,33451,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1923,3446,0,0,5411,0,0,34,0,40015,4580,1004,0,0,0,0,0
5680,55,57,54228,0,0,14460,0,0,0,0,0,0,11500,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,6689,2527,0,0,3802,0,0,15,0,0,0,0,0,0,0,68688,0
316183,30,0,38912,0,0,0,0,0,0,0,0,0,106200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,23937,0,0,0,0,0,0,0,0,2779,0,0,0,0,0,0,0,0,0,0,38912,0
364875,24,0,31836,0,0,0,0,0,0,0,0,0,51600,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,0,0,0,0,2265,0,0,31836,0
455422,33,0,22104,0,0,0,0,0,0,0,0,0,12600,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,58,0,0,0,0,0,0,0,0,0,1114,0,0,0,0,0,4240,930,0,0,0,22104,0
278519,65,69,5784,0,0,0,0,0,32223,0,5082,0,4100,0,0,0,0,0,2,0,0,0,23244,0,32575,0,0,0,0,0,0,0,0,0,2,2,31061,344,0,0,0,0,6201,3398,0,0,6455,0,21847,7161,21184,5082,4577,1003,0,0,0,5784,0
111912,37,38,5757,0,0,23030,0,0,0,0,0,0,29000,0,0,0,2,0,2,0,0,0,0,0,14652,0,0,0,0,0,2,0,0,2,4,2,0,0,0,0,0,0,7971,1816,0,0,2160,0,0,8,0,0,0,0,0,0,0,28787,0
45811,65,0,0,0,0,0,0,0,1992,0,104170,0,7400,0,0,0,0,0,1,0,0,0,11622,0,18767,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5992,3024,0,0,6686,0,1350,846,0,104170,0,0,0,0,0,0,0
235506,80,0,0,0,0,0,0,0,0,0,44797,0,8900,0,0,0,0,0,1,0,0,0,11622,0,22707,0,0,0,0,0,0,0,0,0,1,1,0,227,0,0,0,0,0,0,0,0,3355,0,0,287,0,44797,0,0,0,0,0,0,0
63551,65,64,0,0,0,0,0,0,169815,0,52515,0,1100,0,0,0,0,0,2,0,0,0,11622,0,26692,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,8744,4578,0,0,3000,0,115134,44,0,30301,0,0,0,0,0,0,0
289583,27,0,13661,0,0,0,0,0,0,0,0,2794,11800,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,490,0,0,1,0,0,3999,877,0,0,0,13661,0
2571,85,74,0,0,0,0,0,0,34794,0,17788,0,23800,0,0,0,0,0,2,0,21210,0,23244,0,39905,0,0,0,0,0,0,0,0,0,2,2,847,3967,0,0,0,0,8,3316,0,0,0,0,23590,58,0,17788,0,0,0,0,0,0,0
209673,64,0,57624,0,0,0,0,0,0,0,0,0,125400,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,57624,0
142485,80,77,0,0,0,0,0,0,0,0,210928,0,8500,0,0,0,0,0,2,0,0,0,23244,0,40851,0,0,0,0,0,0,0,0,0,2,2,0,2797,0,0,0,0,2978,5124,0,0,13211,0,0,16,0,210928,0,0,0,0,0,0,0
168761,38,38,202980,0,0,71043,0,0,0,0,0,0,4000,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,1,2,0,2,2,4,2,0,0,0,0,0,0,18452,4074,0,0,13500,0,0,0,0,0,0,0,0,0,0,274023,0
157311,32,0,20298,0,0,0,0,0,0,0,0,0,47000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1000,0,0,10,0,0,0,0,0,0,0,20298,0
437677,43,46,58864,0,0,47700,0,0,0,0,0,1599,41500,0,0,0,5,1,2,0,0,0,0,0,0,5671,0,0,4,1,5,0,4,3,8,2,0,0,0,0,0,0,13241,3014,0,0,5385,0,0,0,0,0,0,0,0,0,0,106564,0
419483,50,0,0,0,0,0,0,0,0,0,0,0,50200,0,0,0,0,0,2,0,0,0,11622,0,14472,0,0,0,0,0,0,0,0,0,2,1,0,638,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
20397,46,0,313855,0,0,0,0,0,0,0,0,0,4200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,14136,3752,0,0,14518,0,0,0,0,0,0,0,0,0,0,313855,0
233188,30,0,0,0,0,0,0,0,0,0,0,0,34300,0,0,0,3,0,1,0,0,7857,0,28125,0,0,7365,0,3,0,3,0,3,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14698,0,0
235931,51,52,30340,0,0,38039,0,0,0,0,0,0,26200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,509,0,0,0,9724,0,7394,2462,0,0,3804,0,0,4,0,0,0,0,1049,0,0,68379,0
324352,41,48,56425,0,0,7557,0,0,40945,0,0,0,100300,0,0,0,0,0,2,0,0,0,11622,0,27512,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,12033,3031,0,0,7097,0,40945,355,0,0,0,0,0,0,0,63982,0
152758,37,39,0,23994,0,38467,0,0,0,0,0,6668,2000,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,1,2,0,2,2,4,2,0,0,0,0,0,0,11395,2541,0,0,4655,23994,0,41,0,0,5188,1137,0,0,0,38467,0
52177,37,39,0,0,0,198760,0,0,668,0,0,0,1900,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,2,2,0,2,2,4,2,0,0,0,0,0,1666,16412,3581,0,0,10202,0,453,1119,0,0,5801,1272,0,0,0,198760,0
42929,80,80,55643,0,0,202340,0,0,0,0,0,0,6300,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,383,0,0,0,0,3089,5251,0,0,13973,0,0,7609,13170,0,0,0,0,0,0,257983,0
44446,35,33,12140,0,0,106228,0,0,0,0,0,0,57800,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,3,2,0,0,0,0,0,0,12561,2739,0,0,5917,0,0,544,0,0,0,0,2500,0,0,118368,0
291570,67,0,0,0,0,0,0,0,0,0,0,0,29300,0,0,0,0,0,1,0,0,0,11622,0,19289,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,902,0,0,0,0,0,0,0,0,0,0,0,0
397109,39,0,116350,0,0,0,0,0,0,0,0,0,86100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10625,2480,0,0,6250,0,0,0,0,0,5355,1174,0,0,0,116350,0
422216,71,73,0,0,0,0,0,0,0,0,65818,0,22100,0,0,0,0,0,2,0,0,0,23244,0,7180,0,0,0,0,0,0,0,0,0,2,2,0,21495,0,0,0,0,4224,3318,0,0,5589,0,0,0,0,65818,0,0,0,0,0,0,0
145552,47,51,32767,0,0,423000,0,0,1352,0,0,0,2800,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,359,0,0,0,11546,25476,0,917,14181,0,0,6684,1465,0,0,0,455767,0
26549,64,70,105488,0,0,103420,0,0,29,0,0,0,6600,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,8558,4314,0,0,11303,0,29,6538,11317,0,5488,1203,0,457,0,208908,0
56557,47,45,0,28812,0,0,6915,0,522,0,0,0,3900,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,3,2,0,12277,0,0,0,0,8712,2509,0,0,4053,35727,522,20,0,0,4944,1084,0,0,0,0,0
290650,38,36,34811,0,0,29838,0,0,0,0,0,0,12900,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,2,1,2,0,2,2,4,2,0,0,0,0,0,0,9509,2185,0,0,3250,0,0,0,0,0,4936,1082,0,0,0,64649,0
261516,48,62,0,0,0,0,0,0,33,0,48455,0,900,0,0,0,0,1,2,0,0,458,0,0,20294,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1292,12092,3479,0,0,8434,0,33,18280,54072,27958,0,0,0,0,187,0,0
49130,65,0,31366,3328,0,0,0,0,0,0,20259,721,80700,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4241,0,0,4397,2310,0,0,3610,3328,0,0,0,11689,4589,1006,0,0,0,31366,0
3060,57,58,58302,0,0,0,49151,0,0,0,0,0,500,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,2,0,0,0,0,0,0,9033,3292,0,0,0,49151,0,3980,11775,0,0,0,0,0,0,58302,0
157911,41,0,131937,0,0,0,0,0,97,0,0,0,3500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1915,0,0,0,0,0,11075,2684,0,0,7272,0,97,4966,14691,0,5464,1198,0,0,0,131937,0
76512,46,39,175560,0,0,0,86460,0,0,0,0,0,300,0,0,0,2,0,2,0,0,0,0,0,0,136088,0,0,2,2,2,0,2,2,4,2,0,0,0,0,0,0,15502,4076,1564,0,12000,86460,0,3,0,0,5940,1302,0,0,0,175560,0
328199,62,66,0,0,0,52860,0,0,2944,0,30510,0,6900,0,0,0,0,0,2,0,0,0,11622,0,26856,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,6620,3185,0,11420,5820,0,2944,2791,8256,30510,5000,1096,0,0,0,52860,0
357934,76,0,0,0,0,0,0,0,27201,0,0,0,1900,0,0,0,0,0,1,0,0,0,11622,0,8994,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1999,2232,0,0,2834,0,18442,4466,0,0,0,0,0,0,0,0,0
322131,48,0,1209,0,0,0,0,0,0,0,0,2608,105100,0,0,0,0,0,1,0,0,2370,0,7031,0,0,9875,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,3840,1209,0
235944,56,0,28982,0,0,0,0,0,0,0,0,0,90800,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3826,0,0,0,0,0,4220,1612,0,0,1813,0,0,0,0,0,0,0,531,0,0,28982,0
174089,22,0,21467,0,0,0,0,0,0,0,0,0,6700,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,770,0,0,0,0,0,0,0,0,0,0,21467,0
357082,29,0,0,0,0,0,0,0,0,0,0,0,15400,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0
146753,73,66,0,0,0,0,0,0,0,0,0,0,22000,0,0,0,0,0,2,0,0,0,23244,0,18305,0,0,0,0,0,0,0,0,0,2,2,0,187,0,0,6756,0,1302,1506,0,0,623,0,0,0,0,0,0,0,0,0,0,0,0
127036,49,0,19182,0,0,0,0,0,0,0,0,0,51800,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3642,1153,0,20932,655,0,0,0,0,0,0,0,0,0,0,19182,0
62730,68,65,253854,0,0,0,0,0,0,0,0,0,1100,0,0,0,0,0,2,0,0,0,23244,0,40154,0,0,0,0,0,0,0,0,0,2,2,0,3449,0,0,0,0,8390,5038,0,0,3000,0,0,324,0,0,5263,1154,0,0,0,253854,0
